#,Body Name,Service Area,Expenses Type,Invoice Payment Date,Transaction Number,Net Amount,Supplier Name
MCC1314-25960,Manchester City Council,Childrens Services,Supported Accommodation,2013-10-31,5100676912,5040.00,Universal Assist (Wrexham) Limited
MCC1314-25961,Manchester City Council,Corporate Services,Furniture,2013-10-31,5100676913,855.00,Back Care Solutions Ltd
MCC1314-25962,Manchester City Council,Childrens Services,Supported Accommodation,2013-10-31,5100676916,5035.29,Universal Assist (Wrexham) Limited
MCC1314-25963,Manchester City Council,Adult Social Care,Payments for services,2013-10-31,5100676918,9121.25,NHS Central Manchester CCG
MCC1314-25964,Manchester City Council,Adult Social Care,Grant and subscriptions awarded,2013-10-31,5100676920,21000.00,Business In The Community North
MCC1314-25965,Manchester City Council,Childrens Services,Transport Coach Hire,2013-10-31,5100676921,1805.00,T/A Beresford Travel
MCC1314-25966,Manchester City Council,Corporate Services,Legal Fees,2013-10-31,5100676922,1575.00,Kings Chambers
MCC1314-25967,Manchester City Council,Chief Executives,Building Works,2013-10-31,5100676923,109152.60,The Co-Operative Group
MCC1314-25968,Manchester City Council,Hospitality + Trading Services,Purchase of stores for re-distribution,2013-10-31,5100676927,870.00,Peter Savage Ltd
MCC1314-25969,Manchester City Council,Hospitality + Trading Services,Purchase of stores for re-distribution,2013-10-31,5100676928,502.98,P.F. Cusack (Tools Supplies) Ltd
MCC1314-25970,Manchester City Council,GMIST (Greater Mcr Integrated),Agency staff provision,2013-10-31,5100676929,11945.87,Bury M.B.C.
MCC1314-25971,Manchester City Council,Manchester Leisure,Contract Cleaning External,2013-10-31,5100676932,525.48,Rentokil Initial Services Ltd
MCC1314-25972,Manchester City Council,Manchester Leisure,Payments for services,2013-10-31,5100676935,625.00,Higher Blackley Comm.Assoc.
MCC1314-25973,Manchester City Council,Hospitality + Trading Services,Vehicle Parts/Spares,2013-10-31,5100676938,825.00,PPK Services Ltd
MCC1314-25974,Manchester City Council,Hospitality + Trading Services,Vehicle Parts/Spares,2013-10-31,5100676940,584.30,Enza Motors Ltd
MCC1314-25975,Manchester City Council,Chief Executives,Rents,2013-10-31,5100676942,1941.50,Manchester Airport Plc
MCC1314-25976,Manchester City Council,Housing Revenue Account,Council Dwelling Adaptations,2013-10-31,5100676944,1890.00,Life Environmental Services
MCC1314-25977,Manchester City Council,Corporate Services,Grant and subscriptions awarded,2013-10-31,5100676947,600.00,CIPFA Business Ltd
MCC1314-25978,Manchester City Council,Libraries and Theatres,External repairs and maintenance for buildings,2013-10-31,5100676949,681.50,Industrial Safety Products Ltd
MCC1314-25979,Manchester City Council,GMIST (Greater Mcr Integrated),Agency staff provision,2013-10-31,5100676950,21558.48,Salford City Council
MCC1314-25980,Manchester City Council,Hospitality + Trading Services,Funeral and coroner related services,2013-10-31,5100676956,1355.00,Teleshore (Uk) Ltd
MCC1314-25981,Manchester City Council,Adult Social Care,Equipment,2013-10-31,5100676959,1600.00,Bentley Fielden Ltd
MCC1314-25982,Manchester City Council,Manchester Leisure,I T Provision,2013-10-31,5100676961,1000.00,GBM Digital Technologies Ltd
MCC1314-25983,Manchester City Council,Libraries and Theatres,Training and Development,2013-10-31,5100676962,975.00,Transport & Training Services Ltd
MCC1314-25984,Manchester City Council,Libraries and Theatres,Training and Development,2013-10-31,5100676965,795.00,Transport & Training Services Ltd
MCC1314-25985,Manchester City Council,Housing Revenue Account,Council Dwelling Adaptations,2013-10-31,5100676966,76163.48,Manchester Working Ltd
MCC1314-25986,Manchester City Council,Libraries and Theatres,Labour Charges,2013-10-31,5100676967,12999.96,Greater Manchester Police
MCC1314-25987,Manchester City Council,Corporate Services,External repairs and maintenance for buildings,2013-10-31,5100676970,29817.05,Manchester Working Ltd
MCC1314-25988,Manchester City Council,Libraries and Theatres,Labour Charges,2013-10-31,5100676972,9100.29,Greater Manchester Police
MCC1314-25989,Manchester City Council,Libraries and Theatres,Training and Development,2013-10-31,5100676973,-795.00,Transport & Training Services Ltd
MCC1314-25990,Manchester City Council,Childrens Services,Transport Coach Hire,2013-10-31,5100676975,5100.00,D.J. Minibus Travel
MCC1314-25991,Manchester City Council,Corporate Services,Car Parking Permits,2013-10-31,5100676977,-2170.46,National Car Parks Ltd Season Ticke
MCC1314-25992,Manchester City Council,Hospitality + Trading Services,Vehicle Parts/Spares,2013-10-31,5100676978,829.53,Johnston Sweepers
MCC1314-25993,Manchester City Council,Adult Social Care,Funeral and coroner related services,2013-10-31,5100676979,1201.25,Funeral Prtnrs t/a Michael Kennedy
MCC1314-25994,Manchester City Council,Libraries and Theatres,Training and Development,2013-10-31,5100676981,795.00,Transport & Training Services Ltd
MCC1314-25995,Manchester City Council,Manchester Leisure,Grant and subscriptions awarded,2013-10-31,5100676987,2500.00,Quince Retail Consulting
MCC1314-25996,Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,2013-10-31,5100676988,4390.83,Independent Choices - Manchester Li
MCC1314-25997,Manchester City Council,Housing Revenue Account,Council Dwelling Adaptations,2013-10-31,5100676996,512.52,Permadoor
MCC1314-25998,Manchester City Council,Adult Social Care,Supporting People Payments,2013-10-31,5100676997,43066.33,Manchester Mental Health & Social C
MCC1314-25999,Manchester City Council,Adult Social Care,Supporting People Payments,2013-10-31,5100676997,7410.89,Manchester Mental Health & Social C
MCC1314-26000,Manchester City Council,Adult Social Care,Supporting People Payments,2013-10-31,5100676997,5348.06,Manchester Mental Health & Social C
MCC1314-26001,Manchester City Council,Adult Social Care,Supporting People Payments,2013-10-31,5100676997,4491.57,Manchester Mental Health & Social C
MCC1314-26002,Manchester City Council,Childrens Services,Grant and subscriptions awarded,2013-10-31,5100677000,1372.50,Willow Park Housing Trust
MCC1314-26003,Manchester City Council,Childrens Services,Grant and subscriptions awarded,2013-10-31,5100677001,1372.50,Willow Park Housing Trust
MCC1314-26004,Manchester City Council,Libraries and Theatres,External repairs and maintenance for buildings,2013-10-31,5100677003,585.00,Industrial Safety Products Ltd
MCC1314-26005,Manchester City Council,Childrens Services,Transport Coach Hire,2013-10-31,5100677010,3695.50,Redacted Personal Information
MCC1314-26006,Manchester City Council,Childrens Services,Transport Coach Hire,2013-10-31,5100677013,1840.00,APL Coachhire
MCC1314-26007,Manchester City Council,Childrens Services,Transport Coach Hire,2013-10-31,5100677019,9245.00,T/A TC Travel Svs Ltd
MCC1314-26008,Manchester City Council,Chief Executives,Construction Works,2013-10-31,5100677025,2037.05,Counter Context Limited
MCC1314-26009,Manchester City Council,Childrens Services,External repairs and maintenance for buildings,2013-10-31,5100677027,675.00,Ashbury Meadow Primary School
MCC1314-26010,Manchester City Council,Childrens Services,Payments for services,2013-10-31,5100677033,4622.64,The Nugent Care Society
MCC1314-26011,Manchester City Council,Childrens Services,Payments for services,2013-10-31,5100677038,8066.67,The Nugent Care Society
MCC1314-26012,Manchester City Council,Childrens Services,Payments for services,2013-10-31,5100677041,3117.92,Penarth Group School
MCC1314-26013,Manchester City Council,Libraries and Theatres,External repairs and maintenance for buildings,2013-10-31,5100677042,590.00,Welding Engineers (Mersey) Ltd
MCC1314-26014,Manchester City Council,Hospitality + Trading Services,Purchase of stores for re-distribution,2013-10-31,5100677044,843.00,Peter Savage Ltd
MCC1314-26015,Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,2013-10-31,5100677045,705.55,University Hospital of South Mcr
MCC1314-26016,Manchester City Council,Childrens Services,Payments for services,2013-10-31,5100677046,2880.00,Keys Childcare Ltd
MCC1314-26017,Manchester City Council,Hospitality + Trading Services,Cash Collection,2013-10-31,5100677047,4413.50,G4S Cash Services (Uk) Ltd
MCC1314-26018,Manchester City Council,Hospitality + Trading Services,Cash Collection,2013-10-31,5100677049,1735.10,G4S Cash Services (Uk) Ltd
MCC1314-26019,Manchester City Council,Hospitality + Trading Services,Furniture,2013-10-31,5100677056,3009.00,Sico Europe Ltd
MCC1314-26020,Manchester City Council,Hospitality + Trading Services,Furniture,2013-10-31,5100677057,1504.50,Sico Europe Ltd
MCC1314-26021,Manchester City Council,Adult Social Care,CAMC/Not assigned,2013-10-31,5100677066,12500.00,Bury M.B.C.
MCC1314-26022,Manchester City Council,Regeneration Finance,Home Care ,2013-10-31,5100677071,687.00,Toto Nurseries Ltd
MCC1314-26023,Manchester City Council,Regeneration Finance,Home Care ,2013-10-31,5100677072,876.00,Building Blocks Nursery
MCC1314-26024,Manchester City Council,Hospitality + Trading Services,Refuse Collection,2013-10-31,5100677074,18943.60,Fairfield Environmental Serv Ltd
MCC1314-26025,Manchester City Council,Childrens Services,Third party payments to other Local Authorities,2013-10-31,5100677075,1501.00,Blessed Thomas Holford School
MCC1314-26026,Manchester City Council,Environment and Operations,Payments to Sub-Contractors,2013-10-31,5100677083,9504.93,Mosscare Housing Ltd
MCC1314-26027,Manchester City Council,Chief Executives,Hire of Equipment,2013-10-31,5100677084,7462.60,Piccadilly Live Ltd
MCC1314-26028,Manchester City Council,Chief Executives,Proffesional fees,2013-10-31,5100677086,9800.00,Future Everything
MCC1314-26029,Manchester City Council,Chief Executives,Paper & Envelopes,2013-10-31,5100677087,3003.00,Premier Paper Group Ltd
MCC1314-26030,Manchester City Council,Regeneration Finance,Home Care ,2013-10-31,5100677088,1713.25,Dribble Drabble Nursery
MCC1314-26031,Manchester City Council,Childrens Services,Transport Coach Hire,2013-10-31,5100677089,6055.00,Redacted Personal Information
MCC1314-26032,Manchester City Council,Regeneration Finance,Proffesional fees,2013-10-31,5100677091,2000.00,The Business of Cities Limited
MCC1314-26033,Manchester City Council,Hospitality + Trading Services,CAMC/Not assigned,2013-10-31,5100677092,20043.85,Carlton Fuels Ltd
MCC1314-26034,Manchester City Council,Hospitality + Trading Services,CAMC/Not assigned,2013-10-31,5100677093,20043.85,Carlton Fuels Ltd
MCC1314-26035,Manchester City Council,Libraries and Theatres,Subsistence and Conference Expenses,2013-10-31,5100677095,7760.00,Bike Right
MCC1314-26036,Manchester City Council,Learning Disabilities PB,Third party payments relating to Voluntary Organisations,2013-10-31,5100677097,8413.00,The Shaw Centre
MCC1314-26037,Manchester City Council,Learning Disabilities PB,Residential Care Homes Payments,2013-10-31,5100677099,4483.30,Moore Care Ltd
MCC1314-26038,Manchester City Council,Chief Executives,Stationery,2013-10-31,5100677100,3426.45,Salford City Council
MCC1314-26039,Manchester City Council,Chief Executives,CAMC/Not assigned,2013-10-31,5100677102,694.00,Wallace Printers Ltd
MCC1314-26040,Manchester City Council,Corporate Services,Proffesional fees,2013-10-31,5100677104,4900.00,Turner & Townsend Project
MCC1314-26041,Manchester City Council,Regeneration Finance,Home Care ,2013-10-31,5100677118,578.00,Toto Nurseries Ltd
MCC1314-26042,Manchester City Council,Regeneration Finance,Home Care ,2013-10-31,5100677119,843.00,Ruperts Day Nursery
MCC1314-26043,Manchester City Council,Chief Executives,Printing,2013-10-31,5100677120,1120.00,Browns CTP Ltd
MCC1314-26044,Manchester City Council,Chief Executives,Printing,2013-10-31,5100677121,2320.00,Browns CTP Ltd
MCC1314-26045,Manchester City Council,Chief Executives,Internal Repairs and Maintenance for buildings,2013-10-31,5100677122,2019.85,Cofely Ltd
MCC1314-26046,Manchester City Council,Manchester Leisure,Rents,2013-10-31,5100677123,900.00,Manchester Sports & Leisure Trust
MCC1314-26047,Manchester City Council,Childrens Services,Payments for services,2013-10-31,5100677124,6074.14,Oliver House Priory
MCC1314-26048,Manchester City Council,Childrens Services,Rents,2013-10-31,5100677125,2417.13,Diocese of Salford
MCC1314-26049,Manchester City Council,Manchester Leisure,Works and associated costs for Land and Buildings,2013-10-31,5100677126,3060.00,URS Infrastructure & Environment
MCC1314-26050,Manchester City Council,Childrens Services,Payments for services,2013-10-31,5100677130,4777.68,Rossendale School Priory
MCC1314-26051,Manchester City Council,Manchester Leisure,Furniture,2013-10-31,5100677136,690.00,Earth Anchors Ltd
MCC1314-26052,Manchester City Council,Childrens Services,Proffesional fees,2013-11-01,1903636510,1538.38,Temperley Taylor LLP
MCC1314-26053,Manchester City Council,Childrens Services,Legal Fees,2013-11-01,1903867335,500.00,Avr Transcription Ltd
MCC1314-26054,Manchester City Council,Childrens Services,Transport Taxis,2013-11-01,1903867338,586.96,Cresta Car Hire
MCC1314-26055,Manchester City Council,Childrens Services,Proffesional fees,2013-11-01,1903867351,579.75,Redacted Personal Information
MCC1314-26056,Manchester City Council,Childrens Services,Proffesional fees,2013-11-01,1903876492,1085.83,Redacted Personal Information
MCC1314-26057,Manchester City Council,Childrens Services,Proffesional fees,2013-11-01,1903876493,1564.75,Applied Psychology Services
MCC1314-26058,Manchester City Council,Childrens Services,Transport Taxis,2013-11-01,1903876505,537.08,Cresta Car Hire
MCC1314-26059,Manchester City Council,Childrens Services,Compensation Payments,2013-11-01,1903876555,7439.00,Abney Garsden Mcdonald
MCC1314-26060,Manchester City Council,Childrens Services,Training and Development,2013-11-01,1903876571,2534.40,Barnardos Manchester Leaving Care S
MCC1314-26061,Manchester City Council,Childrens Services,Training and Development,2013-11-01,1903876592,1401.00,Barnardos Manchester Leaving Care S
MCC1314-26062,Manchester City Council,Childrens Services,Proffesional fees,2013-11-01,1903876603,780.00,Stockport Psychology Services
MCC1314-26063,Manchester City Council,Adult Social Care,Internal Repairs and Maintenance for buildings,2013-11-01,1903883246,500.00,Redacted Personal Information
MCC1314-26064,Manchester City Council,Adult Social Care,Internal Repairs and Maintenance for buildings,2013-11-01,1903883644,500.00,Redacted Personal Information
MCC1314-26065,Manchester City Council,Adult Social Care,Internal Repairs and Maintenance for buildings,2013-11-01,1903883653,500.00,Homemove Northwest
MCC1314-26066,Manchester City Council,Corporate Services,Grant and subscriptions awarded,2013-11-01,5100646233,1175.00,Thomas Telford Training Ltd (NEC)
MCC1314-26067,Manchester City Council,Childrens Services,CAMC/Not assigned,2013-11-01,5100672078,535.50,H.G. Care Services Ltd
MCC1314-26068,Manchester City Council,Section 48,Grant and subscriptions awarded,2013-11-01,5100677138,17500.00,Manchester International Festival
MCC1314-26069,Manchester City Council,Childrens Services,Payments for services,2013-11-01,5100677139,9025.00,Aquarius Community Centre
MCC1314-26070,Manchester City Council,Childrens Services,Payments for services,2013-11-01,5100677140,4869.50,Albert Kennedy Trust
MCC1314-26071,Manchester City Council,Childrens Services,Payments for services,2013-11-01,5100677141,7659.00,Ladybarn Community Association
MCC1314-26072,Manchester City Council,Adult Social Care,Agency staff provision,2013-11-01,5100677182,894.95,Reed Employment Plc
MCC1314-26073,Manchester City Council,Childrens Services,CAMC/Not assigned,2013-11-01,5100677182,921.02,Reed Employment Plc
MCC1314-26074,Manchester City Council,Chief Executives,Agency staff provision,2013-11-01,5100677182,1998.73,Reed Employment Plc
MCC1314-26075,Manchester City Council,Chief Executives,Vehicle Plant Furniture and Equipment,2013-11-01,5100677182,2647.05,Reed Employment Plc
MCC1314-26076,Manchester City Council,Childrens Services,Payments for services,2013-11-01,5100677186,-1485.25,Central Manchester University Hosp
MCC1314-26077,Manchester City Council,Chief Executives,Advertising,2013-11-01,5100677187,550.00,Pure Innovations Ltd
MCC1314-26078,Manchester City Council,Chief Executives,Storage Costs,2013-11-01,5100677192,596.92,Data Space Limited
MCC1314-26079,Manchester City Council,Chief Executives,Storage Costs,2013-11-01,5100677194,-596.92,Data Space Limited
MCC1314-26080,Manchester City Council,Manchester Leisure,Equipment,2013-11-01,5100677196,4234.00,Kerry Taylor Auctions
MCC1314-26081,Manchester City Council,Adult Social Care,Supporting People Payments,2013-11-01,5100677209,20954.10,The Carr-Gomm Society Ltd
MCC1314-26082,Manchester City Council,Adult Social Care,Supporting People Payments,2013-11-01,5100677209,10745.44,The Carr-Gomm Society Ltd
MCC1314-26083,Manchester City Council,Adult Social Care,Supporting People Payments,2013-11-01,5100677209,4835.56,The Carr-Gomm Society Ltd
MCC1314-26084,Manchester City Council,Adult Social Care,Supporting People Payments,2013-11-01,5100677209,4566.94,The Carr-Gomm Society Ltd
MCC1314-26085,Manchester City Council,Adult Social Care,Supporting People Payments,2013-11-01,5100677210,-4566.94,The Carr-Gomm Society Ltd
MCC1314-26086,Manchester City Council,Adult Social Care,Supporting People Payments,2013-11-01,5100677210,-4835.56,The Carr-Gomm Society Ltd
MCC1314-26087,Manchester City Council,Adult Social Care,Supporting People Payments,2013-11-01,5100677210,-10745.44,The Carr-Gomm Society Ltd
MCC1314-26088,Manchester City Council,Adult Social Care,Supporting People Payments,2013-11-01,5100677210,-20954.10,The Carr-Gomm Society Ltd
MCC1314-26089,Manchester City Council,Hospitality + Trading Services,Agency staff provision,2013-11-01,5100677223,539.22,Proactive Personnel Ltd
MCC1314-26090,Manchester City Council,Environment and Operations,Agency staff provision,2013-11-01,5100677223,1116.99,Proactive Personnel Ltd
MCC1314-26091,Manchester City Council,Chief Executives,Agency staff provision,2013-11-01,5100677223,2697.83,Proactive Personnel Ltd
MCC1314-26092,Manchester City Council,Childrens Services,Third party payments relating to Voluntary Organisations,2013-11-01,5100677227,2250.00,Education Counts
MCC1314-26093,Manchester City Council,Childrens Services,CAMC/Not assigned,2013-11-01,5100677229,6026.42,4CT Limited
MCC1314-26094,Manchester City Council,Environment and Operations,Construction Works,2013-11-01,5100677230,27000.00,Gaist Solutions Ltd
MCC1314-26095,Manchester City Council,Chief Executives,Advertising,2013-11-01,5100677232,1000.00,Clicky Media Ltd
MCC1314-26096,Manchester City Council,Chief Executives,Storage Costs,2013-11-01,5100677234,633.41,Data Space Limited
MCC1314-26097,Manchester City Council,Adult Social Care,Proffesional fees,2013-11-01,5100677237,1619.50,Matthews & Goodman
MCC1314-26098,Manchester City Council,Environment and Operations,Construction Works,2013-11-01,5100677238,29700.00,Gaist Solutions Ltd
MCC1314-26099,Manchester City Council,Chief Executives,Storage Costs,2013-11-01,5100677241,508.82,Data Space Limited
MCC1314-26100,Manchester City Council,Chief Executives,Storage Costs,2013-11-01,5100677253,675.76,Data Space Limited
MCC1314-26101,Manchester City Council,Childrens Services,Grant and subscriptions awarded,2013-11-01,5100677255,1138.70,Wythenshawe Community Initiative
MCC1314-26102,Manchester City Council,Adult Social Care,Payments for services,2013-11-01,5100677263,3200.00,Cais Ltd
MCC1314-26103,Manchester City Council,Childrens Services,Grant and subscriptions awarded,2013-11-01,5100677264,806.25,Vine Playgroup
MCC1314-26104,Manchester City Council,Childrens Services,Grant and subscriptions awarded,2013-11-01,5100677266,1033.50,Anson Cabin Project
MCC1314-26105,Manchester City Council,Childrens Services,Grant and subscriptions awarded,2013-11-01,5100677267,1276.89,Slade Lane Playscheme
MCC1314-26106,Manchester City Council,Childrens Services,Grant and subscriptions awarded,2013-11-01,5100677269,1530.75,Bristowe Street Playgroup
MCC1314-26107,Manchester City Council,Childrens Services,Grant and subscriptions awarded,2013-11-01,5100677271,1920.50,Moston Methodist Church Playgroup
MCC1314-26108,Manchester City Council,Chief Executives,Advertising,2013-11-01,5100677273,889.00,Salutions Ltd
MCC1314-26109,Manchester City Council,Chief Executives,Printing,2013-11-01,5100677275,522.50,Mail Solutions
MCC1314-26110,Manchester City Council,Corporate Services,Rents,2013-11-04,1903857716,540625.00,Adam Geoffrey Management Ltd
MCC1314-26111,Manchester City Council,Childrens Services,Proffesional fees,2013-11-04,1903867349,850.00,Redacted Personal Information
MCC1314-26112,Manchester City Council,Childrens Services,Equipment,2013-11-04,1903867728,2019.00,Pinpoint Facilitation Limited
MCC1314-26113,Manchester City Council,Environment and Operations,Rents,2013-11-04,1903876281,2000.00,Guinness Northern Counties
MCC1314-26114,Manchester City Council,Environment and Operations,Rents,2013-11-04,1903876282,13966.80,Guinness Northern Counties
MCC1314-26115,Manchester City Council,Housing General Fund,Surplus property Acquisitions,2013-11-04,1903876472,5332.00,Redacted Personal Information
MCC1314-26116,Manchester City Council,Environment and Operations,Compensation Payments,2013-11-04,1903876562,11500.00,Redacted Personal Information
MCC1314-26117,Manchester City Council,Environment and Operations,Compensation Payments,2013-11-04,1903876563,585.00,Department For Work & Pensions
MCC1314-26118,Manchester City Council,Environment and Operations,Compensation Payments,2013-11-04,1903876565,1200.00,Redacted Personal Information
MCC1314-26119,Manchester City Council,Libraries and Theatres,Landline Telephone,2013-11-04,1903876576,693.36,Vodafone (Ex C&W)
MCC1314-26120,Manchester City Council,Environment and Operations,Compensation Payments,2013-11-04,1903876591,600.00,Department For Work & Pensions
MCC1314-26121,Manchester City Council,Childrens Services,Transport Taxis,2013-11-04,1903876593,584.43,Cresta Car Hire
MCC1314-26122,Manchester City Council,Manchester Leisure,Payments for services,2013-11-04,1903876596,500.00,Zest Team North Mcr FAD008422
MCC1314-26123,Manchester City Council,Environment and Operations,Compensation Payments,2013-11-04,1903876605,11638.88,Redacted Personal Information
MCC1314-26124,Manchester City Council,Environment and Operations,Compensation Payments,2013-11-04,1903881896,600.00,Department For Work & Pensions
MCC1314-26125,Manchester City Council,Housing General Fund,Surplus property Acquisitions,2013-11-04,1903883656,5752.00,Redacted Personal Information
MCC1314-26126,Manchester City Council,Environment and Operations,Compensation Payments,2013-11-04,1903883795,10000.00,Freeclaim Services Ltd
MCC1314-26127,Manchester City Council,Chief Executives,Planning Application Fees,2013-11-04,1903883805,770.00,Watkin Jones and Son Ltd
MCC1314-26128,Manchester City Council,Environment and Operations,Compensation Payments,2013-11-04,1903883954,3500.00,Redacted Personal Information
MCC1314-26129,Manchester City Council,Environment and Operations,Compensation Payments,2013-11-04,1903883955,2250.00,Redacted Personal Information
MCC1314-26130,Manchester City Council,Hospitality + Trading Services,Catering Provisions,2013-11-04,1903884803,972.86,Brake Bros Foodservice Ltd
MCC1314-26131,Manchester City Council,Hospitality + Trading Services,Catering Provisions,2013-11-04,1903884818,572.21,Brake Bros Foodservice Ltd
MCC1314-26132,Manchester City Council,Hospitality + Trading Services,Catering Provisions,2013-11-04,1903884837,612.02,Brake Bros Foodservice Ltd
MCC1314-26133,Manchester City Council,Hospitality + Trading Services,Catering Provisions,2013-11-04,1903884852,731.81,Brake Bros Foodservice Ltd
MCC1314-26134,Manchester City Council,Hospitality + Trading Services,Catering Provisions,2013-11-04,1903884907,755.90,Chicken Joes Limited
MCC1314-26135,Manchester City Council,Hospitality + Trading Services,Catering Provisions,2013-11-04,1903884908,701.25,Chicken Joes Limited
MCC1314-26136,Manchester City Council,Hospitality + Trading Services,Catering Provisions,2013-11-04,1903884964,821.13,Brake Bros Foodservice Ltd
MCC1314-26137,Manchester City Council,Hospitality + Trading Services,Catering Provisions,2013-11-04,1903885001,546.52,Ralph Livesey Ltd
MCC1314-26138,Manchester City Council,Hospitality + Trading Services,Catering Provisions,2013-11-04,1903885302,1344.08,Brake Bros Foodservice Ltd
MCC1314-26139,Manchester City Council,Hospitality + Trading Services,Catering Provisions,2013-11-04,1903885370,589.60,Brake Bros Foodservice Ltd
MCC1314-26140,Manchester City Council,Hospitality + Trading Services,Catering Provisions,2013-11-04,1903885380,702.94,Brake Bros Foodservice Ltd
MCC1314-26141,Manchester City Council,Hospitality + Trading Services,Catering Provisions,2013-11-04,1903885400,720.82,Brake Bros Foodservice Ltd
MCC1314-26142,Manchester City Council,Hospitality + Trading Services,Catering Provisions,2013-11-04,1903885416,777.70,Chicken Joes Limited
MCC1314-26143,Manchester City Council,Hospitality + Trading Services,Catering Provisions,2013-11-04,1903885417,763.70,Chicken Joes Limited
MCC1314-26144,Manchester City Council,Hospitality + Trading Services,Building Materials for direct delivery,2013-11-04,1903885617,521.50,Ecomix Concrete Ltd
MCC1314-26145,Manchester City Council,Regeneration Finance,Third party payments relating to Voluntary Organisations,2013-11-04,5100665824,2268.00,ALL FM 96.9 Ltd
MCC1314-26146,Manchester City Council,Housing General Fund,Works and associated costs for Land and Buildings,2013-11-04,5100676503,19958.00,Ernst & Young Llp
MCC1314-26147,Manchester City Council,Adult Social Care,Rents,2013-11-04,5100677142,19039.86,Accommodation Links Ltd
MCC1314-26148,Manchester City Council,Adult Social Care,Agency staff provision,2013-11-04,5100677163,1513.08,Fawkes and Reece Ltd
MCC1314-26149,Manchester City Council,Childrens Services,Agency staff provision,2013-11-04,5100677163,1146.53,Fawkes and Reece Ltd
MCC1314-26150,Manchester City Council,Childrens Services,Agency staff provision,2013-11-04,5100677163,1024.80,Fawkes and Reece Ltd
MCC1314-26151,Manchester City Council,Chief Executives,Agency staff provision,2013-11-04,5100677163,11218.24,Fawkes and Reece Ltd
MCC1314-26152,Manchester City Council,Adult Social Care,Agency staff provision,2013-11-04,5100677175,551.75,Routes Healthcare Ltd
MCC1314-26153,Manchester City Council,Adult Social Care,Training and Development,2013-11-04,5100677180,1590.00,University Of Manchester
MCC1314-26154,Manchester City Council,Adult Social Care,Training and Development,2013-11-04,5100677184,721.95,University Of Manchester
MCC1314-26155,Manchester City Council,Childrens Services,Payments for services,2013-11-04,5100677188,1485.25,Central Manchester University Hosp
MCC1314-26156,Manchester City Council,Childrens Services,Building Works,2013-11-04,5100677203,615.74,Capita IT Services (BSF) Limited
MCC1314-26157,Manchester City Council,Environment and Operations,Proffesional fees,2013-11-04,5100677236,8822.92,Victim Support
MCC1314-26158,Manchester City Council,Regeneration Finance,Proffesional fees,2013-11-04,5100677243,9416.07,Urban Strategies Inc
MCC1314-26159,Manchester City Council,Adult Social Care,Agency staff provision,2013-11-04,5100677251,567.50,Routes Healthcare Ltd
MCC1314-26160,Manchester City Council,Adult Social Care,Agency staff provision,2013-11-04,5100677251,563.57,Routes Healthcare Ltd
MCC1314-26161,Manchester City Council,Adult Social Care,Agency staff provision,2013-11-04,5100677251,526.80,Routes Healthcare Ltd
MCC1314-26162,Manchester City Council,Environment and Operations,Agency staff provision,2013-11-04,5100677270,1205.64,Proactive Personnel Ltd
MCC1314-26163,Manchester City Council,Chief Executives,Agency staff provision,2013-11-04,5100677270,1092.69,Proactive Personnel Ltd
MCC1314-26164,Manchester City Council,Childrens Services,Third party payments relating to Voluntary Organisations,2013-11-04,5100677276,2446.13,Manchester Creche
MCC1314-26165,Manchester City Council,Housing Revenue Account,Proffesional fees,2013-11-04,5100677283,5000.00,Ellfin Research and Consulting Ltd
MCC1314-26166,Manchester City Council,Childrens Services,Transport Coach Hire,2013-11-04,5100677292,1140.70,MR Blackcab
MCC1314-26167,Manchester City Council,Chief Executives,Grant and subscriptions awarded,2013-11-04,5100677294,2835.00,Centre for Assessment
MCC1314-26168,Manchester City Council,Regeneration Finance,Proffesional fees,2013-11-04,5100677295,16667.00,Addleshaw Goddard Solicitors
MCC1314-26169,Manchester City Council,Learning Disabilities PB,Third party payments relating to Voluntary Organisations,2013-11-04,5100677296,5983.33,The Shaw Centre
MCC1314-26170,Manchester City Council,Learning Disabilities PB,Residential Care Homes Payments,2013-11-04,5100677297,4483.30,Moore Care Ltd
MCC1314-26171,Manchester City Council,Adult Social Care,Equipment,2013-11-04,5100677305,1151.50,Action on Hearing Loss
MCC1314-26172,Manchester City Council,Hospitality + Trading Services,Printing,2013-11-04,5100677311,512.00,Cardentity Ltd
MCC1314-26173,Manchester City Council,Childrens Services,Grant and subscriptions awarded,2013-11-04,5100677317,3711.00,Great Places Housing Association
MCC1314-26174,Manchester City Council,Adult Social Care,Personal needs of client,2013-11-04,5100677331,690.40,Drive Medical Limited
MCC1314-26175,Manchester City Council,Adult Social Care,Equipment,2013-11-04,5100677332,690.40,Drive Medical Limited
MCC1314-26176,Manchester City Council,Housing Revenue Account,Council Dwelling Adaptations,2013-11-04,5100677334,11686.67,Pts Plumbing Trade Supplies
MCC1314-26177,Manchester City Council,Housing Revenue Account,Council Dwelling Adaptations,2013-11-04,5100677335,5236.68,Pts Plumbing Trade Supplies
MCC1314-26178,Manchester City Council,Housing Revenue Account,Council Dwelling Adaptations,2013-11-04,5100677336,11287.86,Pts Plumbing Trade Supplies
